Month,Title,Author,Publisher,Publish_Date
4,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
4,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)",최태성,이투스북,2023.12.01
4,지적인 어른을 위한 최소한의 교양수업,사이토 다카시,더퀘스트,2024.03.20
4,일을 잘 맡기는 기술,모리야 도모타카,센시오,2024.03.26
4,삼체 1: 삼체문제,류츠신,자음과모음,2022.02.15
4,어차피 남들은 나에게 관심이 없다,강산,알토북스,2024.04.01
4,2024 해커스 GSAT 삼성직무적성검사 실전모의고사 10회분,해커스 GSAT 취업교육연구소,해커스잡,2024.02.13
4,아이는 무엇으로 자라는가,버지니아 사티어,포레스트북스,2023.12.18
4,사람을 안다는 것,데이비드 브룩스,웅진지식하우스,2024.04.01
4,이상한 과자 가게 전천당 20,히로시마 레이코,길벗스쿨,2024.04.22
4,진짜 어른이 되기 위한 청소년 논어,판덩,미디어숲,2024.04.20
4,도둑맞은 집중력,요한 하리,어크로스,2023.04.28
4,벼랑 끝이지만 아직 떨어지진 않았어,소재원,프롤로그,2024.03.04
4,처음부터 시작하는 주식투자 단타전략,홍인기,길벗,2023.12.22
4,2024 해커스 GSAT 삼성직무적성검사 실전모의고사 10회분,해커스 GSAT 취업교육연구소,해커스잡,2024.02.16(종이책 2024년 02월 13일)
4,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
4,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019.10.07
4,퓨처 셀프,벤저민 하디,상상스퀘어,2023.08.30
4,2024 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형+실전모의고사,해커스 GSAT 취업교육연구소,해커스잡,2024.01.02
4,보편의 단어,이기주,말글터,2024.01.11
4,침팬지 폴리틱스,프란스 드 발,바다출판사,2018.03.09
4,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
4,물질의 세계,에드 콘웨이,인플루엔셜,2024.03.08
4,우리는 모두 죽는다는 것을 기억하라,웨인 다이어,토네이도,2019.11.18
4,이은경쌤의 초등어휘일력 365,이은경,포레스트북스,2022.10.28
4,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성,이투스북,2024.01.17
4,사카모토 데이즈 15,스즈키 유우토,대원씨아이,2024.04.30
4,오십에 읽는 손자병법,최송목,유노북스,2024.02.28
4,사에즈리 도서관의 와루츠 씨,코교쿠 이즈키,알토북스,2024.05.10
4,프리드리히 니체 아포리즘 : 혼자일 수 없다면 나아갈 수 없다,프리드리히 니체,포레스트북스,2024.03.14
4,무례한 친구가 생겼어요,크리스티나 퍼니발,리틀포레스트,2024.02.21
4,바오패밀리 컬러링북,Kami25,라이카미(부즈펌),2024.04.30
4,뭉우리돌의 들녘,김동우,수오서재,2024.01.19
4,비트코인 폭발적 상승에 올라타라,강환국,거인의정원,2024.04.01
4,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15
4,삶을 견디는 기쁨(리커버:K),헤르만 헤세,문예춘추사,2024.02.28
4,불변의 법칙,모건 하우절 외,서삼독,2024.04.05(종이책 2024년 02월 28일)
4,강인함의 힘,스티브 매그니스,상상스퀘어,2024.03.27
4,맡겨진 소녀,클레어 키건,다산책방,2023.04.21
4,나는 너랑 노는 게 제일 좋아,하태완,북로망스,2023.07.17
4,퍼스널 MBA(10주년 기념 증보판),조시 카우프만,진성북스,2024.01.25
4,스페이스X의 비밀,브래드 버건,미디어숲,2024.04.30
4,타키 포오 코믹 어드벤처 5,캐릭온TV,대원키즈,2024.04.15
4,여행의 이유,김영하,복복서가,2024.04.17
4,당신들의 댄스 댄스,유동규,지우출판,2024.04.05
4,자본주의,EBS 자본주의 제작팀,가나출판사,2013.09.27
4,토익 단기공략 750+(LC+RC),ETS,YBM,2020.08.20
4,나의 돈키호테,김호연,나무옆의자,2024.04.25
4,매주 달러 받는 배당주 통장,장우석,페이지2북스,2024.03.27
4,모든 것은 기본에서 시작한다(교보문고 단독 양장본),손웅정,수오서재,2021.10.15
4,내일의 으뜸,김빵,다향,2024.05.24
4,던전밥 14,Ryoko Kui,소미미디어,2024.05.03
4,위풍당당 여우 꼬리 5: 별빛 가득 기적의 무대,손원평,창비,2024.03.29
4,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케 외,퍼스트펭귄,2024.03.18(종이책 2024년 03월 10일)
4,느리게 나이 드는 습관,정희원,한빛라이프,2023.12.11
4,코스모스,칼 세이건,사이언스북스,2010.01.20
4,시는 나를 끌고 당신에게로 간다,문학과지성사 편집부,문학과지성사,2024.04.03
4,명탐정 코난 104(특장판),Gosho AOYAMA,서울미디어코믹스(서울문화사),2024.04.24
4,나는 당신이 행복했으면 좋겠습니다(15만부 기념 리커버 에디션),박찬위,하이스트,2021.11.25
4,2024 해커스 GSAT 삼성직무적성검사 FINAL 봉투모의고사,해커스 GSAT 취업교육연구소,해커스잡,2024.02.29
4,All the Beauty in the World,Patrick Bringley,Vintage Uk,2024.03.21
4,누군가를 이토록 사랑한 적,이병률,문학과지성사,2024.04.24
4,부자 아빠 가난한 아빠 1(20주년 특별 기념판),로버트 기요사키,민음인,2022.10.28
4,내 몸 혁명,박용우,루미너스,2024.01.10
6,그의 운명에 대한 아주 개인적인 생각,유시민,생각의길,2024.06.19
6,리틀 라이프 1,한야 야나기하라,시공사,2016.06.16
6,THE MONEY BOOK(더 머니북),토스,비바리퍼블리카,2024.05.27
6,불변의 법칙,모건 하우절,서삼독,2024.02.28
6,리틀 라이프 2,한야 야나기하라,시공사,2016.06.16
6,밥을 지어요,김혜경,김영사,2018.02.09
6,허송세월,김훈,나남,2024.06.20
6,나를 소모하지 않는 현명한 태도에 관하여,마티아스 뇔케,퍼스트펭귄,2024.03.10
6,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,2024.10.23
6,초역 부처의 말,코이케 류노스케,포레스트북스,2024.05.30
6,모순,양귀자,쓰다,2013.04.01
6,바자(BAZAAR)(2024년 7월호)(변우석 D형),허스트중앙 편집부,허스트중앙,2024.06.25
6,해커스 토익 기출 VOCA(보카),David Cho,해커스어학연구소,2024.08.19
6,마흔에 읽는 쇼펜하우어,강용수,유노북스,2023.09.07
6,선재 업고 튀어 대본집 세트,이시은,북로그컴퍼니,2024.07.22
6,바자(BAZAAR)(2024년 7월호)(변우석 A형),허스트중앙 편집부,허스트중앙,2024.06.25
6,돈의 심리학(30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2023.11.06
6,ETS 토익 정기시험 기출문제집 1000 Vol 4 RC(리딩),ETS,YBM,2023.12.18
6,ETS 토익 정기시험 기출문제집 1000 Vol 4 LC(리스닝),ETS,YBM,2023.12.18
6,부자의 마지막 가르침,다우치 마나부,북모먼트,2024.05.22
6,예약판매세이노의 가르침(올블랙 유광 에디션),세이노(SayNo),데이원,2023.03.02
6,말하지 않으면 인생은 바뀌지 않는다,샘 혼,서삼독,2024.05.16
6,빨모쌤의 라이브 영어회화,신용하,웅진지식하우스,2024.07.29
6,쇼펜하우어 인생수업: 한 번뿐인 삶 이렇게 살아라,쇼펜하우어,하이스트,2024.02.20
6,나는 다정한 관찰자가 되기로 했다,이은경,서교책방,2024.05.30
6,나는 메트로폴리탄 미술관의 경비원입니다(20만 부 기념 양장 에디션),패트릭 브링리,웅진지식하우스,2023.11.24
6,포커스 리딩,박성후,지니의서재,2024.06.19
6,당신은 결국 무엇이든 해내는 사람(특별 리커버 에디션),김상현,필름(Feelm),2022.04.20
6,니체 인생수업: 니체가 세상에 남긴 66가지 인생지혜,프리드리히 니체,하이스트,2024.03.22
6,신화의 숲,김헌,포레스트북스,2024.05.20
6,가장 빛나는 나이에 싸구려로 살지 마라,차이유린,더페이지,2024.06.25
6,숙론,최재천,김영사,2024.05.10
6,아주 세속적인 지혜,발타자르 그라시안,페이지2북스,2023.03.24
6,주술회전 26: 남쪽으로,Gege Akutami,서울미디어코믹스(서울문화사),2024.06.20
6,나의 돈키호테,김호연,나무옆의자,2024.04.25
6,무엇이 인간관계를 힘들게 하는가,장샤오헝,이든서재,2024.06.25
6,어긋난 대화 1분 만에 바로잡는 45가지 기술,요코야마 노부히로,밀리언서재,2024.05.10
6,흐르는 강물처럼,셸리 리드,다산책방,2024.01.08
6,두 사람의 인터내셔널,김기태,문학동네,2024.05.15
6,나를 사랑하는 것이 먼저다,후션즈,지니의서재,2024.06.25
6,아이가 없는 집,알렉스 안도릴,필름(Feelm),2024.06.12
6,무엇이 나를 행복하게 만드는가,리처드 J. 라이더 외,북플레저,2024.03.04
6,AI 사피엔스: 전혀 다른 세상의 인류,최재붕,쌤앤파커스,2024.06.01
6,흔한남매 과학 탐험대 10: 생태계,흔한남매,주니어김영사,2024.05.22
6,자본주의,EBS 자본주의 제작팀,가나출판사,2013.09.27
6,만일 나에게 단 한 번의 아침이 남아 있다면,존 릴런드,북모먼트,2024.06.26
6,일류의 조건,사이토 다카시,필름(Feelm),2024.03.20
6,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023.07.24
6,쿠이 료코 낙서집 데이드림 아워(한정판),쿠이 료코,소미미디어,2024.06.04
6,평범하여 찬란한 삶을 향한 찬사,마리나 반 주일렌,피카(FIKA),2024.05.10
6,바자(BAZAAR)(2024년 7월호)(변우석 C형),허스트중앙 편집부,허스트중앙,2024.06.25
6,어떻게 살 것인가,이광수,이든하우스,2024.05.02
6,2024 해커스 AFPK 최종 실전모의고사 3회분,해커스 금융아카데미,해커스금융,2024.06.05
6,원피스 108: 죽는 편이 나은 세계,EIICHIRO ODA,대원씨아이,2024.05.31
6,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019.10.07
6,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(상)",최태성,이투스북,2023.12.01
6,강인함의 힘,스티브 매그니스,상상스퀘어,2024.03.27
6,해커스 토익 LC Listening(리스닝) 기본서,David Cho,해커스어학연구소,2023.07.24
6,파란 마음 북커버,David Cho,해커스어학연구소,2023.07.24
6,그럼에도 불구하고 나는 내가 좋았어,박채린,북플레저,2024.06.12
6,흔한남매 16,흔한남매,미래엔아이세움,2024.04.25
6,우리는 날마다 조금씩 행복해진다,얼미부부,웅진지식하우스,2024.06.19
6,내 몸 혁명,박용우,루미너스,2024.01.10
6,"꽃길이 따로 있나, 내 삶이 꽃인 것을",오평선,포레스트북스,2024.03.22
6,나는 읽고 쓰고 버린다,손웅정,난다,2024.04.20
6,도둑맞은 집중력,요한 하리,어크로스,2023.04.28
6,사카모토 데이즈 16 + 사카모토 데이즈(소설판),Yuto Suzuki,대원씨아이,2024.06.27
6,녹나무의 여신,히가시노 게이고,소미미디어,2024.05.23
6,선재 업고 튀어 [TVN 월화드라마],O.S.T,스톤뮤직엔터테인먼트,2024.06.05
6,"2024 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1, 2, 3급)(하)",최태성,이투스북,2023.12.01
6,토익 단기공략 750+(LC+RC),ETS,YBM,2020.08.20
6,물고기는 존재하지 않는다,룰루 밀러,곰출판,2021.12.17
6,국어 잘하는 아이가 이깁니다,나민애,김영사,2024.03.15
6,남에게 보여주려고 인생을 낭비하지 마라,쇼펜하우어,페이지2북스,2023.10.30
6,밸류에이션을 알면 10배 주식이 보인다,박순혁,한국경제신문,2024.05.31
6,보편의 단어,이기주,말글터,2024.01.11
6,내 언어의 한계는 내 세계의 한계이다,김종원,마인드셋(Mindset),2024.05.29
6,왕구리네 떡집,김리리,비룡소,2024.06.12
6,바자(BAZAAR)(2024년 7월호)(변우석 B형),허스트중앙 편집부,허스트중앙,2024.06.25
6,진짜 진짜 행복해,애나벨 세구라 란츠,오렌지연필,2024.05.03
6,설민석의 한국사 대모험 29,설민석 외,단꿈아이,2024.05.27
6,나는 나의 스무 살을 가장 존중한다,이하영,토네이도,2024.02.28
6,바빌론의 부자 멘토와 꼬마 제자,조지 S. 클레이슨,퍼스트펭귄,2024.05.25
6,싯다르타,헤르만 헤세,민음사,2002.01.20
6,감정의 이해,엠마 헵번,포레스트북스,2024.04.29
6,돈의 속성(300쇄 리커버에디션),김승호,스노우폭스북스,2020.06.15
6,"오십, 나는 재미있게 살기로 했다",이서원,나무사이,2024.05.08
6,찌그러져도 동그라미입니다,김창완,웅진지식하우스,2024.03.28
6,유전자 지배 사회,최정균,동아시아,2024.04.30
6,총 균 쇠,재레드 다이아몬드,김영사,2023.05.11
6,한 권으로 끝내는 해커스 토익 700+(LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,2023.07.03
6,룬의 아이들 블러디드 7,전민희,엘릭시르,2024.05.30
6,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27
6,채사장의 지대넓얕 10: 거인의 어깨,채사장 외,돌핀북,2024.06.18
6,실패 예찬,코스티카 브라다탄,시옷책방,2024.06.25
6,말의 품격(7주년 기념 플라워 에디션),이기주,황소북스,2017.05.29
6,홀썸의 집밥 예찬,홀썸모먼트,다산라이프,2024.05.21
6,진짜 나를 찾아라,법정,샘터(샘터사),2024.04.30
6,ETS 토익기출 파트별 VOCA,ETS,YBM,2022.12.23
6,질병 해방,피터 아티아 외,부키,2024.04.30
10,소년이 온다,한강,창비,2014.05.19
10,채식주의자,한강,창비,2022.03.28
10,작별하지 않는다,한강,문학동네,2021.09.09
10,흰,한강,문학동네,2018.04.25
