Month,Title,Author,Publisher,Publish_Date,Category
2,이처럼 사소한 것들,클레어 키건,다산책방,2023.11.27,일반
2,모순,양귀자,쓰다,2013.04.01,일반
2,메리골드 마음 사진관,윤정은,북로망스,2024.01.12,fantasy
2,맡겨진 소녀,클레어 키건,다산책방,2023.04.21,일반
2,금단의 마술,히가시노 게이고,재인,2023.10.27,mystery
2,아주 희미한 빛으로도,최은영,문학동네,2023.08.07,일반
2,도시와 그 불확실한 벽,무라카미 하루키,문학동네,2023.09.06,일반
2,메리골드 마음 세탁소(30만 부 기념 한정 플라워 에디션),윤정은,북로망스,2023.03.06,일반
2,구의 증명,최진영,은행나무,2023.04.26,일반
2,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,2021.04.20,일반
2,인간 실격,다자이 오사무,민음사,2012.04.10,일반
2,마지막 마음이 들리는 공중전화,이수연,클레이하우스,2024.01.15,일반
2,황금종이 1,조정래,해냄출판사,2023.11.21,일반
2,황금종이 2,조정래,해냄출판사,2023.11.21,일반
2,트러스트,에르난 디아스,문학동네,2023.02.24,일반
2,사라진 것들,앤드루 포터,문학동네,2024.01.15,일반
2,귀신들의 땅,천쓰홍,민음사,2023.12.29,일반
2,참을 수 없는 존재의 가벼움,밀란 쿤데라,민음사,2018.06.20,일반
2,데미안,헤르만 헤세,민음사,2009.01.20,일반
2,살인자의 쇼핑몰 1,강지영,자음과모음,2020.02.14,mystery
2,프랭키,요헨 구치 외,인플루엔셜,2024.01.30,일반
2,살인자의 쇼핑몰 2,강지영,자음과모음,2023.07.28,mystery
2,오로라,최진영,위즈덤하우스,2024.02.21,일반
2,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,2022.05.09,fantasy
2,노르웨이의 숲,무라카미 하루키,민음사,2017.08.07,일반
2,작별하지 않는다,한강,문학동네,2021.09.09,일반
2,파과,구병모,위즈덤하우스,2018.04.16,일반
2,광인,이혁진,민음사,2023.11.24,일반
2,불편한 편의점 2(단풍 에디션),김호연,나무옆의자,2022.08.10,일반
2,싯다르타,헤르만 헤세,민음사,2002.01.20,일반
2,7인 1역,렌죠 미키히코,모모,2023.12.01,일반
2,각각의 계절,권여선,문학동네,2023.05.07,일반
2,왜 나는 너를 사랑하는가(70만 부 기념 리커버),알랭 드 보통,청미래,2022.11.10,일반
2,홍학의 자리,정해연,엘릭시르,2021.07.26,일반
2,지구 생물체는 항복하라,정보라,래빗홀,2024.01.29,sf
2,이방인,알베르 카뮈,민음사,2019.09.02,일반
2,잘못된 장소 잘못된 시간,질리언 매캘리스터,시옷북스,2023.07.27,mystery
2,바다가 들리는 편의점(홀리데이 에디션),마치다 소노코,모모,2024.12.18,일반
2,블랙 쇼맨과 운명의 바퀴,히가시노 게이고,알에이치코리아,2024.03.02,mystery
2,바다가 들리는 편의점,마치다 소노코,모모,2023.03.24,일반
2,프로젝트 헤일메리,앤디 위어,알에이치코리아,2021.05.04,sf
2,아버지의 해방일지,정지아,창비,2022.09.02,일반
2,나는 소망한다 내게 금지된 것을,양귀자,쓰다,2019.04.20,일반
2,브람스를 좋아하세요,프랑수아즈 사강,민음사,2008.05.02,일반
2,지구 끝의 온실,김초엽,자이언트북스,2021.08.18,sf
2,동물농장,조지 오웰,민음사,2009.01.07,일반
2,"칵테일, 러브, 좀비 (리커버)",조예은,안전가옥,2023.01.25,mystery
2,1984,조지 오웰,민음사,2007.03.30,일반
2,밝은 밤,최은영,문학동네,2021.07.27,일반
2,고도를 기다리며,사뮈엘 베케트,민음사,2012.02.20,일반
2,스토너,존 윌리엄스,알에이치코리아,2015.01.02,일반
2,아침 그리고 저녁,욘 포세,문학동네,2019.07.26,일반
2,나미야 잡화점의 기적(무선 보급판),히가시노 게이고,현대문학,2022.12.19,일반
2,돌연한 출발,프란츠 카프카,민음사,2023.04.07,일반
2,채식주의자,한강,창비,2022.03.28,일반
2,멋진 신세계,올더스 헉슬리,소담출판사,2015.06.12,일반
2,단 한 사람,최진영,한겨레출판사,2023.09.30,일반
2,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,2019.06.24,sf
2,매니악,벵하민 라바투트,문학동네,2024.01.26,일반
2,달러구트 꿈 백화점,이미예,팩토리나인,2020.07.08,fantasy
2,회색 인간,김동식,요다,2017.12.27,일반
2,눈에 갇힌 외딴 산장에서,히가시노 게이고,재인,2023.07.18,mystery
2,어서 오세요 실력지상주의 교실에 2학년 편 10,키누가사 쇼고,소미미디어,2024.02.08,fantasy
2,호밀밭의 파수꾼,제롬 데이비드 샐린저,민음사,2023.01.17,일반
2,"오늘 밤, 거짓말의 세계에서 잊을 수 없는 사랑을",이치조 미사키,모모,2023.11.13,romance
2,속임수의 섬,히가시가와 도쿠야,북다,2024.01.29,mystery
2,소년이 온다,한강,창비,2014.05.19,일반
2,듄 1-6 세트,프랭크 허버트,황금가지,2021.01.22,일반
2,아가미,구병모,위즈덤하우스,2018.03.30,일반
2,설국,가와바타 야스나리,민음사,2009.01.20,일반
2,용의자 X의 헌신,히가시노 게이고,재인,2017.08.30,mystery
2,파견자들,김초엽,퍼블리온,2023.10.13,일반
2,해가 지는 곳으로,최진영,민음사,2017.06.30,일반
2,천 개의 파랑,천선란,허블,2020.08.19,sf
2,자살,에두아르 르베,워크룸프레스,2023.03.10,일반
2,악의,히가시노 게이고,현대문학,2019.07.25,일반
2,시지프 신화,알베르 카뮈,민음사,2016.06.17,일반
2,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,2021.06.28,일반
2,부처스 크로싱,존 윌리엄스,구픽,2023.09.18,일반
2,해리 포터와 아즈카반의 죄수(미나리마 에디션),조앤 K. 롤링,문학수첩,2023.10.03,fantasy
2,해리 포터와 마법사의 돌 1(해리포터 20주년 개정판),J. K. 롤링,문학수첩,2019.11.19,fantasy
2,달과 6펜스,서머싯 몸,민음사,2000.06.20,일반
2,듄 1(DUNE),프랭크 허버트,황금가지,2021.01.21,일반
2,희망,양귀자,쓰다,2020.06.30,일반
2,노인과 바다,어니스트 헤밍웨이,민음사,2012.01.02,일반
2,스토너(초판본),존 윌리엄스,알에이치코리아,2020.06.24,일반
2,가여운 것들,앨러스데어 그레이,황금가지,2023.04.21,일반
2,눈부신 안부,백수린,문학동네,2023.05.24,일반
2,모비딕(무삭제 완역본),허먼 멜빌,현대지성,2022.09.02,일반
2,데미안: 오리지널 초판본 표지디자인,이미영,코너스톤,2016.07.22,일반
2,라디오 체조,오쿠다 히데오,은행나무,2023.11.28,일반
2,"어느 날, 내 죽음에 네가 들어왔다",세이카 료겐,모모,2022.05.09,일반
2,아몬드,손원평,다즐링,2023.07.14,일반
2,연금술사,파울로 코엘료,문학동네,2018.12.05,일반
2,외투,니콜라이 고골,민음사,2017.06.30,일반
2,작은 책방,엘리너 파전,수박설탕,2023.12.21,일반
2,작별인사,김영하,복복서가,2022.05.02,일반
2,해리 포터와 비밀의 방(미나리마 에디션),J. K. 롤링,문학수첩,2021.10.26,fantasy
2,바다가 들리는 편의점 2,마치다 소노코,모모,2023.07.27,일반
2,비가 오면 열리는 상점,유영광,클레이하우스,2023.06.14,일반
